PC1,cluster
-0.6446651722846386,3
0.0090428344931666,2
-0.469720322363528,3
-0.3501597993108658,5
-1.006394435451901,0
-0.886707766997427,0
-0.3814461686436401,5
-0.161705386487986,5
-0.7777749219203418,0
-0.5688825564962715,3
-0.6531612780799754,3
0.0565893808997305,2
-0.484779125051411,3
-0.3666546702862397,5
-1.008930846732401,0
-0.8794218795268997,0
-0.3802966335515286,5
-0.170766922176146,5
-0.5793600295977024,3
0.1524027323343367,2
-1.009659067139652,0
-0.8865236261832269,0
-0.7538467683017038,0
-0.5484577999255426,3
-0.6517589827587665,3
0.0360301807215953,2
-0.4780462224544555,3
-0.3500848640867061,5
-0.4402181700131521,3
-0.1687783489126051,5
-0.5786614424623662,3
0.202019644445588,2
-0.4995547338868358,3
-0.3533531163398969,5
-1.012163750953595,0
-0.8770274210331683,0
-0.3890069807684567,5
-0.1288735600363684,5
-0.5856581563231531,3
0.164588088606548,2
